iter	Passed	Remaining
406	6933	18619
407	6945	18589
408	6958	18561
409	6971	18532
410	6983	18504
411	6999	18483
412	7013	18458
413	7029	18440
414	7046	18422
415	7059	18396
416	7072	18367
417	7087	18345
418	7100	18319
419	7113	18290
420	7124	18260
421	7138	18235
422	7157	18222
423	7170	18196
424	7185	18175
425	7201	18155
426	7213	18126
427	7223	18093
428	7239	18072
429	7256	18057
430	7272	18038
431	7289	18020
432	7304	18000
433	7319	17977
434	7333	17953
435	7358	17957
436	7378	17948
437	7397	17937
438	7413	17917
439	7426	17890
440	7438	17862
441	7450	17834
442	7463	17808
443	7477	17784
444	7491	17761
445	7508	17743
446	7519	17713
447	7531	17685
448	7546	17664
449	7558	17635
450	7571	17610
451	7583	17583
452	7596	17557
453	7616	17547
454	7627	17517
455	7639	17491
456	7651	17462
457	7663	17434
458	7676	17409
459	7689	17384
460	7701	17356
461	7713	17329
462	7726	17304
463	7739	17280
464	7752	17256
465	7765	17231
466	7777	17204
467	7789	17177
468	7801	17151
469	7814	17126
470	7829	17105
471	7845	17086
472	7859	17065
473	7876	17049
474	7893	17032
475	7933	17067
476	7957	17066
477	7974	17049
478	7993	17038
479	8168	17358
480	8205	17382
481	8221	17364
482	8240	17350
483	8257	17333
484	8285	17339
485	8317	17353
486	8361	17392
487	8408	17436
488	8483	17539
489	8515	17552
490	8560	17592
491	8620	17660
492	8732	17835
493	8792	17905
494	8817	17902
495	8865	17946
496	8925	18013
497	8968	18044
498	9016	18088
499	9051	18103
500	9081	18109
501	9116	18123
502	9139	18115
503	9161	18104
504	9187	18101
505	9215	18103
506	9239	18096
507	9267	18097
508	9290	18088
509	9311	18074
510	9331	18061
511	9354	18050
512	9372	18031
513	9390	18014
514	9407	17993
515	9425	17974
516	9450	17968
517	9474	17961
518	9489	17937
519	9509	17922
520	9526	17900
521	9543	17880
522	9559	17858
523	9580	17844
524	9597	17824
525	9614	17803
526	9628	17777
527	9646	17757
528	9663	17738
529	9680	17717
530	9697	17697
531	9712	17672
532	9727	17647
533	9739	17618
534	9750	17587
535	9764	17560
536	9776	17531
537	9790	17506
538	9802	17477
