STAT_ID,Latitude,Longitude,geometry,sc,ss,su,mt,va,vb,vi,pa,pb,pi,GLC_Artificial,GLC_Managed,GLC_Water,GLC_Aquatic_Veg,GLC_PERC_COV,Popdens_00,Soil_pH,SOC,Soil_wetness
400035,-32.68,27.15,POINT (27.15 -32.68),0.0,0.89,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.003702091,0.0,100.0,58.18,6.82,3.99,114.79
400036,-31.56,28.72,POINT (28.72 -31.56),0.0,0.97,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.61,0.0,0.0,100.0,152.09,6.63,3.92,49.81
400037,-32.87,27.38,POINT (27.38 -32.87),0.0,0.75,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.006894485,0.21,0.001648681,0.0,100.0,148.36,6.82,3.99,114.79
400038,-32.93,27.43,POINT (27.43 -32.93),0.0,0.77,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.03,0.22,0.001367187,0.0,100.0,187.7,6.82,3.99,114.79
400039,-32.94,27.46,POINT (27.46 -32.94),0.0,0.76,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.02,0.22,0.001666667,0.0,100.0,205.33,6.82,3.99,114.79
400040,-32.93,27.47,POINT (27.47 -32.93),0.0,0.85,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.03,0.35,0.0,0.0,100.0,243.66,6.85,3.94,101.33
400041,-25.47,31.1,POINT (31.1 -25.47),0.06,0.29,0.0,0.03,0.0,0.06,0.03,0.27,0.0034821319223083,0.0,0.007917234,0.18,0.003424325,0.0,100.0,20.27,5.98,4.25,79.57
400042,-26.19,29.18,POINT (29.18 -26.19),0.0,0.87,0.0,0.0,0.0097236015596623,0.1,0.0,0.0077927946715101,0.0,0.0,0.004835243,0.63,0.007163324,0.0,100.0,17.3,7.2,4.26,58.05
400043,-25.69,30.25,POINT (30.25 -25.69),0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,100.0,23.03,5.98,3.97,79.58
400044,-25.59,30.57,POINT (30.57 -25.59),0.0,0.32,0.0,0.0,0.0,0.11,0.08,0.0,0.0,0.0,0.0,0.29,0.0,0.0,100.0,16.16,5.98,4.03,81.07
400045,-25.49,30.69,POINT (30.69 -25.49),0.07,0.33,0.0,0.05,0.0,0.08,0.09,0.04,0.0020689631986728,0.0,0.003996164,0.21,0.0005594629,0.0,100.0,13.53,5.96,4.22,85.14
400046,-26.53,29.12,POINT (29.12 -26.53),0.0,0.46,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.33,0.45,0.008215962,0.0,100.0,129.05,7.61,4.42,59.46
