STAT_ID,Latitude,Longitude,geometry
400169,-25.67,28.4,POINT (28.4 -25.67)
400170,-25.67,28.35,POINT (28.35 -25.67)
400171,-25.6,28.36,POINT (28.36 -25.6)
400173,-25.45,28.1,POINT (28.1 -25.45)
400175,-25.85,27.64,POINT (27.64 -25.85)
400176,-25.89,27.58,POINT (27.58 -25.89)
400177,-25.98,26.39,POINT (26.39 -25.98)
400178,-26.04,27.78,POINT (27.78 -26.04)
400179,-25.82,26.43,POINT (26.43 -25.82)
400182,-26.1,27.83,POINT (27.83 -26.1)
400183,-25.96,27.81,POINT (27.81 -25.96)
400186,-26.4,28.09,POINT (28.09 -26.4)
400187,-26.82,27.93,POINT (27.93 -26.82)
400194,-33.91,18.88,POINT (18.88 -33.91)
400195,-33.92,18.87,POINT (18.87 -33.92)
400196,-33.92,18.87,POINT (18.87 -33.92)
400197,-33.9,18.84,POINT (18.84 -33.9)
400198,-33.92,18.85,POINT (18.85 -33.92)
400199,-33.94,18.84,POINT (18.84 -33.94)
400200,-33.93,18.82,POINT (18.82 -33.93)
400201,-26.84,27.65,POINT (27.65 -26.84)
400202,-33.94,18.82,POINT (18.82 -33.94)
400203,-33.94,18.82,POINT (18.82 -33.94)
400204,-33.97,18.93,POINT (18.93 -33.97)
400205,-33.94,18.89,POINT (18.89 -33.94)
400206,-33.94,18.83,POINT (18.83 -33.94)
400207,-33.96,18.81,POINT (18.81 -33.96)
400211,-33.32,19.29,POINT (19.29 -33.32)
400212,-33.34,19.29,POINT (19.29 -33.34)
400213,-33.35,19.3,POINT (19.3 -33.35)
400214,-33.36,19.3,POINT (19.3 -33.36)
400215,-33.37,19.32,POINT (19.32 -33.37)
400216,-26.11,27.66,POINT (27.66 -26.11)
400217,-24.89,28.29,POINT (28.29 -24.89)
400218,-25.21,28.29,POINT (28.29 -25.21)
400220,-33.38,19.33,POINT (19.33 -33.38)
400224,-33.32,19.41,POINT (19.41 -33.32)
400226,-24.37,30.66,POINT (30.66 -24.37)
400227,-25.17,30.37,POINT (30.37 -25.17)
400228,-25.22,30.3,POINT (30.3 -25.22)
400229,-24.18,30.82,POINT (30.82 -24.18)
400230,-27.01,29.03,POINT (29.03 -27.01)
400231,-24.18,30.81,POINT (30.81 -24.18)
400232,-23.97,31.07,POINT (31.07 -23.97)
400233,-24.03,31.13,POINT (31.13 -24.03)
400234,-24.54,31.03,POINT (31.03 -24.54)
400235,-24.4,30.79,POINT (30.79 -24.4)
400236,-24.44,30.59,POINT (30.59 -24.44)
400237,-24.43,30.61,POINT (30.61 -24.43)
400238,-24.45,30.6,POINT (30.6 -24.45)
400239,-24.72,30.57,POINT (30.57 -24.72)
